"model","AUC_occ","RMSE","MAE","MedAE","Spearman","Calib","Pred_ZeroShare","version","calib_factor"
"M1: Mixed-ST (OLS) [RAW]",0.810947503201024,15.5811197218983,3.97711481877602,0.322039609775221,0.551506514146682,0.166867404385349,0,"RAW",NA
"M2: Pure-ST (OLS) [RAW]",0.832202304737516,15.5862872723175,3.99555043055031,0.32921678500237,0.571827700066951,0.168500215448814,0,"RAW",NA
"M3: Pure-STAR (SAR) [RAW]",0.832106274007682,15.6002837251824,3.97214485954827,0.320686826193674,0.575766151181791,0.154870925111591,0,"RAW",NA
"M4: Mixed-STAR (SAR+X) [RAW]",0.81472471190781,15.5914251200106,3.96335081976272,0.314902984665232,0.559884680911212,0.156315784798886,0,"RAW",NA
"M5: Res-STAR (SDM/Durbin) [RAW]",0.819334186939821,15.6034871640687,3.9515161104638,0.335341573026974,0.55942849387559,0.145168478909765,0.00396825396825397,"RAW",NA
"M1: Mixed-ST (OLS) [CAL]",0.810947503201024,15.3876264232799,4.32161134458717,0.770274353936541,0.551506514146682,0.344964930915484,0,"CAL",2.06729967536891
"M2: Pure-ST (OLS) [CAL]",0.832202304737516,15.3875965765105,4.38039330871289,0.822832911510933,0.571827700066951,0.356015694061649,0,"CAL",2.11285008219943
"M3: Pure-STAR (SAR) [CAL]",0.832106274007682,15.3982893464942,4.33116468665353,0.757461591851288,0.575766151181791,0.339499055352729,0,"CAL",2.19214197311797
"M4: Mixed-STAR (SAR+X) [CAL]",0.81472471190781,15.3927709171206,4.29083205448668,0.687761754895775,0.559884680911212,0.333560187789043,0,"CAL",2.13388678704584
"M5: Res-STAR (SDM/Durbin) [CAL]",0.819334186939821,15.4120667160372,4.23453884757983,0.644540862906133,0.55942849387559,0.308852064756541,0.00396825396825397,"CAL",2.12754219838951
